ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction,implied_vol
SPY,2026-03-17,683.0,0.19,0.21,0.2,0.21,3046.0,1377.0,662.2899780273438,0.0027397260273972,0.9696778594836658,-0.0307913662684168,0.0523423922590207,0.0026566516698182,0.3380743793590068
SPY,2026-03-17,684.0,0.15,0.16,0.155,0.16,3708.0,1084.0,662.2899780273438,0.0027397260273972,0.9682602017943622,-0.0322544243201772,0.0523423922590207,0.0026527676761488,0.33513754028058046
SPY,2026-03-17,685.0,0.12,0.13,0.125,0.13,6443.0,4932.0,662.2899780273438,0.0027397260273972,0.9668466832515968,-0.033715344959852,0.0523423922590207,0.002648895022607,0.3350703062636852
SPY,2026-03-17,686.0,0.09,0.11,0.1,0.1,1750.0,1220.0,662.2899780273438,0.0027397260273972,0.9654372857541454,-0.0351741344235119,0.0523423922590207,0.0026450336596003,0.3348678889575004
SPY,2026-03-17,687.0,0.07,0.08,0.075,0.06,1693.0,1309.0,662.2899780273438,0.0027397260273972,0.9640319913061772,-0.036630798919976,0.0523423922590207,0.002641183537825,0.33177655469131473
SPY,2026-03-17,688.0,0.05,0.07,0.06,0.05,2719.0,2009.0,662.2899780273438,0.0027397260273972,0.962630782016488,-0.0380853446309704,0.0523423922590207,0.0026373446082642,0.33226721996355046
SPY,2026-03-17,689.0,0.04,0.05,0.045,0.05,1689.0,1614.0,662.2899780273438,0.0027397260273972,0.9612336400977411,-0.0395377777112853,0.0523423922590207,0.0026335168221855,0.33013575857686994
SPY,2026-03-17,690.0,0.03,0.04,0.035,0.03,1872.0,2602.0,662.2899780273438,0.0027397260273972,0.9598405478657156,-0.0409881042889318,0.0523423922590207,0.0026297001311388,0.32995122265815735
SPY,2026-03-17,691.0,0.02,0.03,0.025,0.02,1035.0,1858.0,662.2899780273438,0.0027397260273972,0.9584514877385584,-0.0424363304652966,0.0523423922590207,0.0026258944869548,0.32673543393516546
SPY,2026-03-18,630.0,32.65,33.1,32.875,33.37,50.0,3.0,662.2899780273438,0.0054794520547945,1.051253933376736,0.0499836739167948,0.0740233210197603,0.0057602955253519,0.4217943202481269
SPY,2026-03-18,645.0,19.38,19.75,19.565,20.14,3.0,10.0,662.2899780273438,0.0054794520547945,1.026806167484254,0.0264531765066007,0.0740233210197603,0.0056263351642972,0.4156711073291004
SPY,2026-03-18,650.0,15.44,15.74,15.59,15.71,24.0,20.0,662.2899780273438,0.0054794520547945,1.018907658503606,0.0187311304126905,0.0740233210197603,0.0055830556630334,0.40629687935376174
SPY,2026-03-18,655.0,11.85,12.13,11.99,12.32,574.0,534.0,662.2899780273438,0.0054794520547945,1.0111297374463264,0.0110682576671213,0.0740233210197603,0.005540436917514,0.3969560001660586
SPY,2026-03-18,657.0,10.61,10.71,10.66,10.65,188.0,15.0,662.2899780273438,0.0054794520547945,1.0080517169365963,0.0080194748177627,0.0740233210197603,0.0055235710517073,0.39258891831067205
SPY,2026-03-18,658.0,9.95,10.05,10.0,9.98,456.0,25.0,662.2899780273438,0.0054794520547945,1.0065197234458112,0.006498561977056,0.0740233210197603,0.0055151765668263,0.3891896665522158
SPY,2026-03-18,659.0,9.33,9.42,9.375,9.39,434.0,44.0,662.2899780273438,0.0054794520547945,1.0049923794041635,0.004979958799866,0.0740233210197603,0.0055068075583789,0.3866296777147651
SPY,2026-03-18,660.0,8.73,8.77,8.75,8.76,739.0,168.0,662.2899780273438,0.0054794520547945,1.0034696636777936,0.003463658281902,0.0740233210197603,0.0054984639105632,0.38304437011966114
SPY,2026-03-18,661.0,8.13,8.18,8.155000000000001,8.15,384.0,222.0,662.2899780273438,0.0054794520547945,1.001951555260732,0.0019496534506869,0.0740233210197603,0.0054901455082779,0.379966357487142
SPY,2026-03-18,662.0,7.56,7.6,7.58,7.58,1062.0,106.0,662.2899780273438,0.0054794520547945,1.000438033273933,0.0004379373653649,0.0740233210197603,0.0054818522371174,0.3768459659663141
SPY,2026-03-18,663.0,7.0,7.04,7.02,7.02,1259.0,199.0,662.2899780273438,0.0054794520547945,0.9989290769643194,-0.0010714968834892,0.0740233210197603,0.0054735839833661,0.373400669635117
SPY,2026-03-18,664.0,6.46,6.5,6.48,6.5,2127.0,273.0,662.2899780273438,0.0054794520547945,0.9974246657038308,-0.0025786561740606,0.0740233210197603,0.0054653406339935,0.36985952906706937
SPY,2026-03-18,665.0,5.94,5.98,5.960000000000001,5.98,5369.0,162.0,662.2899780273438,0.0054794520547945,0.9959247789884867,-0.0040835473534808,0.0740233210197603,0.0054571220766492,0.36619536455321317
SPY,2026-03-18,666.0,5.44,5.48,5.460000000000001,5.49,3435.0,482.0,662.2899780273438,0.0054794520547945,0.9944293964374532,-0.0055861772380158,0.0740233210197603,0.0054489281996572,0.36238072816377875
SPY,2026-03-18,667.0,4.97,5.0,4.984999999999999,5.0,1864.0,634.0,662.2899780273438,0.0054794520547945,0.9929384977921196,-0.0070865526132505,0.0740233210197603,0.0054407588920115,0.3586513859925866
SPY,2026-03-18,668.0,4.5,4.54,4.52,4.56,1948.0,361.0,662.2899780273438,0.0054794520547945,0.9914520629151852,-0.0085846802342724,0.0740233210197603,0.0054326140433708,0.3541872082032263
SPY,2026-03-18,669.0,4.07,4.11,4.09,4.09,3597.0,761.0,662.2899780273438,0.0054794520547945,0.9899700717897516,-0.0100805668258552,0.0740233210197603,0.0054244935440534,0.3502939831158519
SPY,2026-03-18,670.0,3.65,3.69,3.67,3.67,8806.0,1322.0,662.2899780273438,0.0054794520547945,0.9884925045184236,-0.0115742190826384,0.0740233210197603,0.0054163972850324,0.3455926087216735
SPY,2026-03-18,671.0,3.26,3.3,3.28,3.28,3181.0,1241.0,662.2899780273438,0.0054794520547945,0.98701934132242,-0.0130656436693085,0.0740233210197603,0.005408325157931,0.34115766700083017
SPY,2026-03-18,672.0,2.89,2.92,2.905,2.92,3781.0,751.0,662.2899780273438,0.0054794520547945,0.98555056254069,-0.0145548472207763,0.0740233210197603,0.0054002770550174,0.336106175039947
SPY,2026-03-18,673.0,2.54,2.58,2.56,2.59,2056.0,855.0,662.2899780273438,0.0054794520547945,0.9840861486290398,-0.0160418363423545,0.0740233210197603,0.0053922528692001,0.33129518774056427
SPY,2026-03-18,674.0,2.22,2.26,2.24,2.25,2169.0,522.0,662.2899780273438,0.0054794520547945,0.9826260801592636,-0.0175266176099338,0.0740233210197603,0.0053842524940233,0.32643019865101575
SPY,2026-03-18,675.0,1.92,1.96,1.94,1.94,4649.0,1669.0,662.2899780273438,0.0054794520547945,0.981170337818287,-0.0190091975701566,0.0740233210197603,0.0053762758236618,0.32116663343471286
SPY,2026-03-18,676.0,1.65,1.69,1.67,1.67,5430.0,1687.0,662.2899780273438,0.0054794520547945,0.9797189024073132,-0.0204895827405909,0.0740233210197603,0.0053683227529167,0.31618720346534246
SPY,2026-03-18,677.0,1.41,1.44,1.4249999999999998,1.44,1389.0,772.0,662.2899780273438,0.0054794520547945,0.9782717548409804,-0.0219677796099017,0.0740233210197603,0.0053603931772108,0.3111898921085
SPY,2026-03-18,678.0,1.19,1.22,1.205,1.22,1668.0,943.0,662.2899780273438,0.0054794520547945,0.9768288761465248,-0.0234437946380223,0.0740233210197603,0.0053524869925836,0.30622297911036017
SPY,2026-03-18,679.0,0.99,1.02,1.005,1.04,2028.0,838.0,662.2899780273438,0.0054794520547945,0.975390247462951,-0.0249176342563229,0.0740233210197603,0.0053446040956873,0.3009004053153991
SPY,2026-03-18,680.0,0.82,0.85,0.835,0.84,4790.0,2093.0,662.2899780273438,0.0054794520547945,0.9739558500402112,-0.0263893048677791,0.0740233210197603,0.0053367443837819,0.29624176743727915
SPY,2026-03-18,681.0,0.67,0.7,0.685,0.72,2054.0,1371.0,662.2899780273438,0.0054794520547945,0.9725256652383902,-0.0278588128471391,0.0740233210197603,0.0053289077547308,0.2914547411971091
SPY,2026-03-18,682.0,0.54,0.57,0.5549999999999999,0.58,1732.0,1086.0,662.2899780273438,0.0054794520547945,0.9710996745268968,-0.0293261645410889,0.0740233210197603,0.0053210941069966,0.28665394628858554
SPY,2026-03-18,683.0,0.44,0.47,0.4549999999999999,0.46,2612.0,908.0,662.2899780273438,0.0054794520547945,0.9696778594836658,-0.0307913662684168,0.0740233210197603,0.0053133033396365,0.28350431869924064
SPY,2026-03-18,684.0,0.35,0.38,0.365,0.38,2166.0,1087.0,662.2899780273438,0.0054794520547945,0.9682602017943622,-0.0322544243201772,0.0740233210197603,0.0053055353522978,0.2796319254282713
SPY,2026-03-18,685.0,0.28,0.3,0.29,0.29,3065.0,1018.0,662.2899780273438,0.0054794520547945,0.9668466832515968,-0.033715344959852,0.0740233210197603,0.0052977900452142,0.2759211799000503
SPY,2026-03-18,686.0,0.22,0.24,0.2299999999999999,0.23,1995.0,1077.0,662.2899780273438,0.0054794520547945,0.9654372857541454,-0.0351741344235119,0.0740233210197603,0.0052900673192007,0.27278299639868736
SPY,2026-03-18,687.0,0.17,0.19,0.18,0.19,2036.0,1288.0,662.2899780273438,0.0054794520547945,0.9640319913061772,-0.036630798919976,0.0740233210197603,0.0052823670756502,0.2695757907416821
SPY,2026-03-18,688.0,0.13,0.15,0.14,0.13,1832.0,965.0,662.2899780273438,0.0054794520547945,0.962630782016488,-0.0380853446309704,0.0740233210197603,0.0052746892165286,0.26666183983922004
SPY,2026-03-18,689.0,0.1,0.12,0.11,0.1,1761.0,1236.0,662.2899780273438,0.0054794520547945,0.9612336400977411,-0.0395377777112853,0.0740233210197603,0.0052670336443711,0.2646834431293011
SPY,2026-03-18,690.0,0.08,0.09,0.0849999999999999,0.09,1473.0,1699.0,662.2899780273438,0.0054794520547945,0.9598405478657156,-0.0409881042889318,0.0740233210197603,0.0052594002622778,0.26244183239579205
SPY,2026-03-18,691.0,0.06,0.07,0.065,0.06,1283.0,1352.0,662.2899780273438,0.0054794520547945,0.9584514877385584,-0.0424363304652966,0.0740233210197603,0.0052517889739098,0.2602288318822384
SPY,2026-03-18,692.0,0.04,0.06,0.05,0.05,1544.0,3087.0,662.2899780273438,0.0054794520547945,0.957066442236046,-0.0438824623152963,0.0740233210197603,0.0052441996834851,0.2586073476662636
SPY,2026-03-18,693.0,0.03,0.04,0.035,0.03,602.0,1188.0,662.2899780273438,0.0054794520547945,0.955685393978851,-0.04532650588753,0.0740233210197603,0.0052366322957745,0.2543358418269157
SPY,2026-03-18,694.0,0.02,0.03,0.025,0.04,933.0,1655.0,662.2899780273438,0.0054794520547945,0.9543083256878152,-0.0467684672044312,0.0740233210197603,0.0052290867160975,0.2513045890226364
SPY,2026-03-19,615.0,46.23,49.03,47.629999999999995,57.98,2.0,2.0,662.2899780273438,0.0082191780821917,1.0768942732151932,0.0740812254958554,0.0906596827823244,0.008851185807248,0.3952283005084992
SPY,2026-03-19,650.0,16.39,16.7,16.545,16.89,2014.0,227.0,662.2899780273438,0.0082191780821917,1.018907658503606,0.0187311304126905,0.0906596827823244,0.0083745834945501,0.3773787419060468
SPY,2026-03-19,655.0,12.87,13.18,13.025,13.0,665.0,1205.0,662.2899780273438,0.0082191780821917,1.0111297374463264,0.0110682576671213,0.0906596827823244,0.008310655376271,0.36865959856075037
SPY,2026-03-19,656.0,12.3,12.43,12.365,13.41,89.0,6.0,662.2899780273438,0.0082191780821917,1.0095883811392434,0.0095427043582841,0.0906596827823244,0.008297986694295,0.36681446289096775
SPY,2026-03-19,660.0,9.81,9.86,9.835,9.87,251.0,277.0,662.2899780273438,0.0082191780821917,1.0034696636777936,0.003463658281902,0.0906596827823244,0.0082476958658447,0.35699235086292025
SPY,2026-03-19,661.0,9.22,9.27,9.245,9.15,125.0,19.0,662.2899780273438,0.0082191780821917,1.001951555260732,0.0019496534506869,0.0906596827823244,0.0082352182624168,0.35449351637062426
SPY,2026-03-19,662.0,8.65,8.69,8.67,8.7,317.0,168.0,662.2899780273438,0.0082191780821917,1.000438033273933,0.0004379373653649,0.0906596827823244,0.008222778355676,0.35185833629885305
SPY,2026-03-19,663.0,8.09,8.13,8.11,8.13,1058.0,198.0,662.2899780273438,0.0082191780821917,0.9989290769643194,-0.0010714968834892,0.0906596827823244,0.0082103759750491,0.349070717398882
SPY,2026-03-19,664.0,7.55,7.59,7.57,7.58,1044.0,256.0,662.2899780273438,0.0082191780821917,0.9974246657038308,-0.0025786561740606,0.0906596827823244,0.0081980109509903,0.3463229739929736
SPY,2026-03-19,665.0,7.01,7.06,7.035,7.05,2514.0,836.0,662.2899780273438,0.0082191780821917,0.9959247789884867,-0.0040835473534808,0.0906596827823244,0.0081856831149737,0.34297003502807016
SPY,2026-03-19,666.0,6.5,6.55,6.525,6.43,1023.0,173.0,662.2899780273438,0.0082191780821917,0.9944293964374532,-0.0055861772380158,0.0906596827823244,0.0081733922994858,0.33983118097467724
SPY,2026-03-19,667.0,6.01,6.05,6.029999999999999,6.03,1462.0,367.0,662.2899780273438,0.0082191780821917,0.9929384977921196,-0.0070865526132505,0.0906596827823244,0.0081611383380173,0.33646845195013275
SPY,2026-03-19,668.0,5.53,5.58,5.555,5.79,1342.0,769.0,662.2899780273438,0.0082191780821917,0.9914520629151852,-0.0085846802342724,0.0906596827823244,0.0081489210650562,0.33307563749116653
SPY,2026-03-19,669.0,5.08,5.12,5.1,5.15,1538.0,637.0,662.2899780273438,0.0082191780821917,0.9899700717897516,-0.0100805668258552,0.0906596827823244,0.00813674031608,0.3296373149010837
SPY,2026-03-19,670.0,4.64,4.67,4.654999999999999,4.68,5539.0,988.0,662.2899780273438,0.0082191780821917,0.9884925045184236,-0.0115742190826384,0.0906596827823244,0.0081245959275486,0.3256924126039148
SPY,2026-03-19,671.0,4.21,4.25,4.23,4.21,1368.0,590.0,662.2899780273438,0.0082191780821917,0.98701934132242,-0.0130656436693085,0.0906596827823244,0.0081124877368965,0.3216531859878301
SPY,2026-03-19,672.0,3.81,3.85,3.83,3.85,1658.0,695.0,662.2899780273438,0.0082191780821917,0.98555056254069,-0.0145548472207763,0.0906596827823244,0.0081004155825261,0.3177342117024958
SPY,2026-03-19,673.0,3.42,3.46,3.44,3.47,1558.0,1107.0,662.2899780273438,0.0082191780821917,0.9840861486290398,-0.0160418363423545,0.0906596827823244,0.0080883793038002,0.3132118299969136
SPY,2026-03-19,674.0,3.06,3.1,3.08,3.03,2380.0,943.0,662.2899780273438,0.0082191780821917,0.9826260801592636,-0.0175266176099338,0.0906596827823244,0.0080763787410349,0.3090168564959466
