ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity
SPY,2026-03-20,245.0,415.44,418.24,416.84,418.81,10.0,75.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,250.0,410.45,413.24,411.845,421.05,1.0,35.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,255.0,410.07,413.38,411.725,355.14,,22.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,260.0,400.44,403.24,401.84,433.5,1.0,29.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,265.0,395.45,398.25,396.85,422.05,1.0,11.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,270.0,390.45,393.25,391.85,412.97,1.0,26.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,275.0,416.21,419.02,417.615,403.22,2.0,10.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,285.0,347.77,351.1,349.435,321.9,2.0,2.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,290.0,402.08,404.89,403.485,404.0,2.0,13.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,295.0,365.46,368.26,366.86,383.12,1.0,17.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,300.0,360.47,363.26,361.865,368.45,3.0,78.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,305.0,371.24,374.04,372.64,388.95,7.0,8.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,310.0,354.53,358.03,356.28,368.15,1.0,1.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,315.0,345.47,348.27,346.87,381.06,8.0,34.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,320.0,340.48,343.27,341.875,349.99,3.0,31.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,325.0,335.47,338.27,336.87,363.72,10.0,13.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,330.0,362.25,365.06,363.655,366.54,1.0,19.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,335.0,356.48,359.29,357.885,359.1,5.0,2.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,340.0,320.48,323.28,321.88,337.59,6.0,27.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,345.0,315.48,318.28,316.88,332.68,2.0,40.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,350.0,311.63,312.13,311.88,319.68,1.0,460.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,355.0,306.64,307.13,306.885,326.75,1198.0,613.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,360.0,301.64,302.13,301.885,321.78,1008.0,635.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,365.0,295.49,298.29,296.89,316.83,4.0,63.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,370.0,291.64,292.14,291.89,305.1,3.0,874.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,375.0,285.5,288.29,286.895,298.58,2.0,61.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,380.0,281.65,282.14,281.895,296.05,2.0,108.0,662.2899780273438,0.010958904109589041
