ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction
SPY,2026-03-18,673.0,2.54,2.58,2.56,2.59,2056.0,855.0,662.2899780273438,0.0054794520547945,0.9840861486290398,-0.016041836342354555,0.07402332101976039,0.005392252869200197
SPY,2026-03-18,674.0,2.22,2.26,2.24,2.25,2169.0,522.0,662.2899780273438,0.0054794520547945,0.9826260801592637,-0.01752661760993385,0.07402332101976039,0.005384252494023342
SPY,2026-03-18,675.0,1.92,1.96,1.94,1.94,4649.0,1669.0,662.2899780273438,0.0054794520547945,0.981170337818287,-0.019009197570156625,0.07402332101976039,0.005376275823661826
SPY,2026-03-18,676.0,1.65,1.69,1.67,1.67,5430.0,1687.0,662.2899780273438,0.0054794520547945,0.9797189024073132,-0.020489582740590907,0.07402332101976039,0.0053683227529167645
SPY,2026-03-18,677.0,1.41,1.44,1.4249999999999998,1.44,1389.0,772.0,662.2899780273438,0.0054794520547945,0.9782717548409804,-0.021967779609901796,0.07402332101976039,0.005360393177210831
SPY,2026-03-18,678.0,1.19,1.22,1.205,1.22,1668.0,943.0,662.2899780273438,0.0054794520547945,0.9768288761465247,-0.023443794638022344,0.07402332101976039,0.005352486992583677
SPY,2026-03-18,679.0,0.99,1.02,1.005,1.04,2028.0,838.0,662.2899780273438,0.0054794520547945,0.975390247462951,-0.024917634256322922,0.07402332101976039,0.005344604095687383
SPY,2026-03-18,680.0,0.82,0.85,0.835,0.84,4790.0,2093.0,662.2899780273438,0.0054794520547945,0.9739558500402113,-0.026389304867779198,0.07402332101976039,0.005336744383781959
SPY,2026-03-18,681.0,0.67,0.7,0.685,0.72,2054.0,1371.0,662.2899780273438,0.0054794520547945,0.9725256652383902,-0.027858812847139126,0.07402332101976039,0.005328907754730885
SPY,2026-03-18,682.0,0.54,0.57,0.5549999999999999,0.58,1732.0,1086.0,662.2899780273438,0.0054794520547945,0.9710996745268969,-0.02932616454108892,0.07402332101976039,0.005321094106996676
SPY,2026-03-18,683.0,0.44,0.47,0.4549999999999999,0.46,2612.0,908.0,662.2899780273438,0.0054794520547945,0.9696778594836658,-0.030791366268416834,0.07402332101976039,0.005313303339636505
SPY,2026-03-18,684.0,0.35,0.38,0.365,0.38,2166.0,1087.0,662.2899780273438,0.0054794520547945,0.9682602017943622,-0.0322544243201772,0.07402332101976039,0.005305535352297855
SPY,2026-03-18,685.0,0.28,0.3,0.29,0.29,3065.0,1018.0,662.2899780273438,0.0054794520547945,0.9668466832515967,-0.03371534495985204,0.07402332101976039,0.005297790045214208
SPY,2026-03-18,686.0,0.22,0.24,0.2299999999999999,0.23,1995.0,1077.0,662.2899780273438,0.0054794520547945,0.9654372857541454,-0.035174134423511944,0.07402332101976039,0.005290067319200777
SPY,2026-03-18,687.0,0.17,0.19,0.18,0.19,2036.0,1288.0,662.2899780273438,0.0054794520547945,0.9640319913061772,-0.036630798919976094,0.07402332101976039,0.005282367075650266
SPY,2026-03-18,688.0,0.13,0.15,0.14,0.13,1832.0,965.0,662.2899780273438,0.0054794520547945,0.962630782016488,-0.038085344630970436,0.07402332101976039,0.005274689216528681
SPY,2026-03-18,689.0,0.1,0.12,0.11,0.1,1761.0,1236.0,662.2899780273438,0.0054794520547945,0.9612336400977413,-0.03953777771128537,0.07402332101976039,0.005267033644371165
