contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,dte,spot,mid,moneyness,T
SPY260116C00654000,2026-01-02 17:17:48+00:00,654.0,30.1,29.78,32.56,-5.789999,-16.132624,14.0,37,0.2608716491699219,True,REGULAR,USD,2026-01-16,12,683.1699829101562,31.17,1.0446024203519209,0.03287671232876712
SPY260116C00655000,2026-01-02 20:27:53+00:00,655.0,30.07,29.94,30.39,-1.5300007,-4.8417745,26.0,7898,0.2188798815917968,True,REGULAR,USD,2026-01-16,12,683.1699829101562,30.165,1.0430076074964219,0.03287671232876712
SPY260116C00658000,2026-01-02 20:01:35+00:00,658.0,27.37,27.17,27.52,-4.8500004,-15.052763,11.0,21,0.2069781451416015,True,REGULAR,USD,2026-01-16,12,683.1699829101562,27.345,1.0382522536628513,0.03287671232876712
SPY260116C00659000,2025-12-26 17:16:18+00:00,659.0,33.47,26.17,26.59,0.0,0.0,46.0,13,0.2036822796630859,True,REGULAR,USD,2026-01-16,12,683.1699829101562,26.380000000000003,1.0366767570715574,0.03287671232876712
SPY260116C00660000,2026-01-02 20:36:39+00:00,660.0,25.37,25.27,25.71,0.41000175,1.6426352,456.0,11640,0.2017291741943359,True,REGULAR,USD,2026-01-16,12,683.1699829101562,25.490000000000002,1.035106034712358,0.03287671232876712
SPY260116C00663000,2026-01-02 17:20:48+00:00,663.0,21.82,22.53,22.95,-5.710001,-20.741013,40.0,585,0.1915364050292969,True,REGULAR,USD,2026-01-16,12,683.1699829101562,22.740000000000002,1.0304222969987273,0.03287671232876712
SPY260116C00665000,2026-01-02 20:36:48+00:00,665.0,20.91,20.75,21.13,-0.07999992,-0.38113353,183.0,12460,0.1847005358886718,True,REGULAR,USD,2026-01-16,12,683.1699829101562,20.939999999999998,1.0273232825716636,0.03287671232876712
SPY260116C00670000,2026-01-02 21:00:10+00:00,670.0,16.76,16.44,16.75,0.44000053,2.6960819,707.0,26333,0.1690146575927734,True,REGULAR,USD,2026-01-16,12,683.1699829101562,16.595,1.019656690910681,0.03287671232876712
SPY260116C00671000,2026-01-02 19:13:13+00:00,671.0,14.99,15.56,15.93,-0.57000065,-3.663243,11.0,92,0.166573275756836,True,REGULAR,USD,2026-01-16,12,683.1699829101562,15.745000000000001,1.0181370833236307,0.03287671232876712
SPY260116C00672000,2026-01-02 19:22:20+00:00,672.0,14.15,14.76,15.09,-1.4400005,-9.236693,24.0,162,0.163521548461914,True,REGULAR,USD,2026-01-16,12,683.1699829101562,14.925,1.0166219983782088,0.03287671232876712
SPY260116C00673000,2026-01-02 20:45:08+00:00,673.0,13.5,13.94,14.26,-4.6499996,-25.619831,35.0,233,0.1604087866210937,True,REGULAR,USD,2026-01-16,12,683.1699829101562,14.1,1.0151114159140509,0.03287671232876712
SPY260116C00674000,2026-01-02 20:42:29+00:00,674.0,12.9,13.15,13.46,-0.97000027,-6.9935126,40.0,509,0.1577232666015625,True,REGULAR,USD,2026-01-16,12,683.1699829101562,13.305,1.0136053158904395,0.03287671232876712
SPY260116C00675000,2026-01-02 21:12:15+00:00,675.0,12.4,12.45,12.68,-0.20000076,-1.5873077,3079.0,18395,0.1551598156738281,True,REGULAR,USD,2026-01-16,12,683.1699829101562,12.565,1.0121036783854167,0.03287671232876712
SPY260116C00676000,2026-01-02 20:50:00+00:00,676.0,11.0,11.6,11.91,-0.5,-4.347826,36.0,1076,0.1525353302001953,True,REGULAR,USD,2026-01-16,12,683.1699829101562,11.754999999999999,1.0106064835949058,0.03287671232876712
SPY260116C00677000,2026-01-02 21:12:04+00:00,677.0,10.94,10.86,11.17,0.0899992,0.8294857,211.0,1166,0.1502465347290039,True,REGULAR,USD,2026-01-16,12,683.1699829101562,11.015,1.0091137118318407,0.03287671232876712
SPY260116C00678000,2026-01-02 20:41:36+00:00,678.0,10.0,10.12,10.44,-0.5,-4.7619047,171.0,2531,0.1478356701660156,True,REGULAR,USD,2026-01-16,12,683.1699829101562,10.28,1.0076253435253042,0.03287671232876712
SPY260116C00679000,2026-01-02 20:59:04+00:00,679.0,9.3,9.42,9.72,-0.34999943,-3.6269372,204.0,3467,0.1452722192382812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,9.57,1.0061413592196704,0.03287671232876712
SPY260116C00680000,2026-01-02 21:01:04+00:00,680.0,8.93,8.73,8.93,-0.029999733,-0.33481845,3958.0,25340,0.1409692837524414,True,REGULAR,USD,2026-01-16,12,683.1699829101562,8.83,1.0046617395737591,0.03287671232876712
SPY260116C00681000,2026-01-02 21:02:53+00:00,681.0,8.3,8.06,8.3,0.14000034,1.7156905,1349.0,1635,0.1394739373779297,True,REGULAR,USD,2026-01-16,12,683.1699829101562,8.18,1.0031864653599945,0.03287671232876712
SPY260116C00682000,2026-01-02 21:14:01+00:00,682.0,7.52,7.49,7.57,-0.09000015,-1.1826564,3709.0,2571,0.1355982437133789,True,REGULAR,USD,2026-01-16,12,683.1699829101562,7.53,1.0017155174635721,0.03287671232876712
SPY260116C00683000,2026-01-02 21:14:56+00:00,683.0,6.9,6.9,6.93,-0.19999981,-2.8168988,4718.0,2797,0.1330653100585937,True,REGULAR,USD,2026-01-16,12,683.1699829101562,6.915,1.0002488768816344,0.03287671232876712
SPY260116C00684000,2026-01-02 21:14:08+00:00,684.0,6.27,6.3,6.33,-0.23000002,-3.5384617,3940.0,2312,0.1308680664062499,False,REGULAR,USD,2026-01-16,12,683.1699829101562,6.3149999999999995,0.9987865247224507,0.03287671232876712
SPY260116C00685000,2026-01-02 21:14:24+00:00,685.0,5.7,5.72,5.75,-0.26000023,-4.36242,14678.0,22476,0.1286097882080077,False,REGULAR,USD,2026-01-16,12,683.1699829101562,5.734999999999999,0.9973284422046077,0.03287671232876712
SPY260116C00686000,2026-01-02 21:06:35+00:00,686.0,5.14,5.17,5.2,-0.16000032,-3.018874,1879.0,3877,0.126412544555664,False,REGULAR,USD,2026-01-16,12,683.1699829101562,5.1850000000000005,0.9958746106562044,0.03287671232876712
